id,token_address,chain,provider,security_score,is_honeypot,cannot_sell,is_blacklisted,trading_disabled,is_mintable,is_proxy,owner_renounced,blacklist_function,dangerous_owner_permissions,buy_tax,sell_tax,top_holder_pct,top_10_holder_pct,lp_locked_pct,lp_burned_pct,risk_flags,raw_json,scan_time
360,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
363,0x4aDcB020228Cff4bFAD4e74C1f890af59d9BbbA3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
364,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
368,0xEfd2Cf7352b502B2eEDBFc40AAA502caCAAc185b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T19:35:23+00:00
372,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T19:35:23+00:00
374,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T19:35:23+00:00
382,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T19:35:23+00:00
385,0x4aDcB020228Cff4bFAD4e74C1f890af59d9BbbA3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T19:35:23+00:00
386,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T19:35:23+00:00
388,0x86d1756f8D92a507443B9Eb26a0ECe7434b77b5e,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T21:08:00+00:00
390,0xEfd2Cf7352b502B2eEDBFc40AAA502caCAAc185b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T21:08:00+00:00
394,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T21:08:00+00:00
396,0x2d8c6eFd45cE74311ee9F18Bd1e54ecA7D231D83,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T21:08:00+00:00
397,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T21:08:00+00:00
399,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T21:08:00+00:00
