id,token_address,symbol,pair_id,original_label,horizon,max_future_return_pct,return_at_horizon_pct,reject_reasons,liquidity_at_scan,volume_at_scan,pair_age_hours_at_scan,price_change_1h_at_scan,security_score,fdv,fdv_liquidity_ratio,tradability_score,tradability_label,should_be_high_risk_momentum,main_lesson,created_at
13463,0x8f9e7ce623e99C789dc01579a42522CF9077CC8a,RoboX,base:0x348b81863531ce001a9ee8b5d4d0230f76314cc7ef9e89aa63dee9b50b1cd333,Watchlist,4h,57.45526838966204,57.45526838966204,[],45651.37,554636.79,2.0231239630555558,-43.33,,100647.0,2.2046873949237447,75.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13462,0xF2270F70E4D5AA860337CF1E698b155aDd6E692D,FLOOD,base:0x1ab70efaad5c80164d82b916805ab6e1aae9743a817cbd806e866be21c44107b,Watchlist,4h,55.48281505728316,55.48281505728316,[],84115.43,600156.3,0.9986242122222222,422.0,,122300.0,1.4539544052738007,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13461,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Watchlist,8h,100.47656870532168,100.47656870532168,[],60921.0,988516.67,4.268609105,-32.27,,62951.0,1.033321843042629,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13460,0xF233Cb02e6944aF84a9DFFEaf11B88ea5B4fEb2e,Shekel,base:0xbebfc588032de43a8c5d37737a29fd2950dea1fc76bdf0e3ff15f4d2229ab3b9,Momentum Trap,1h,129.5807453416149,129.5807453416149,"[""early_extreme_overextension"",""too_early_after_large_pump""]",65348.33,345887.63,0.7100479316666667,985.0,,128836.0,1.971527045909207,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13459,0xF233Cb02e6944aF84a9DFFEaf11B88ea5B4fEb2e,Shekel,base:0xbebfc588032de43a8c5d37737a29fd2950dea1fc76bdf0e3ff15f4d2229ab3b9,Momentum Trap,30m,129.5807453416149,129.5807453416149,"[""early_extreme_overextension"",""too_early_after_large_pump""]",65348.33,345887.63,0.7100479316666667,985.0,,128836.0,1.971527045909207,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13458,0xF233Cb02e6944aF84a9DFFEaf11B88ea5B4fEb2e,Shekel,base:0xbebfc588032de43a8c5d37737a29fd2950dea1fc76bdf0e3ff15f4d2229ab3b9,Momentum Trap,15m,129.5807453416149,129.5807453416149,"[""early_extreme_overextension"",""too_early_after_large_pump""]",65348.33,345887.63,0.7100479316666667,985.0,,128836.0,1.971527045909207,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13457,0xb77c45c2A8C29323061Aa0273A46283F1530eB5E,VEILNET,base:0x1e30475ed99bc21c6792c9c4f4f1224229b2c3e3b7b9c8723a8661b6f9923443,Watchlist,4h,470.57602490918526,470.57602490918526,[],36492.19,115284.72,0.37135157166666666,68.58,,38543.0,1.0561986003032429,60.0,High-Risk Tradable,0,Pump was not clearly tradable; do not loosen clean filters from this row alone.,2026-05-18T04:43:51+00:00
13456,0xb77c45c2A8C29323061Aa0273A46283F1530eB5E,VEILNET,base:0x1e30475ed99bc21c6792c9c4f4f1224229b2c3e3b7b9c8723a8661b6f9923443,Watchlist,2h,470.57602490918526,470.57602490918526,[],36492.19,115284.72,0.37135157166666666,68.58,,38543.0,1.0561986003032429,60.0,High-Risk Tradable,0,Pump was not clearly tradable; do not loosen clean filters from this row alone.,2026-05-18T04:43:51+00:00
13455,0xb77c45c2A8C29323061Aa0273A46283F1530eB5E,VEILNET,base:0x1e30475ed99bc21c6792c9c4f4f1224229b2c3e3b7b9c8723a8661b6f9923443,Watchlist,1h,470.57602490918526,470.57602490918526,[],36492.19,115284.72,0.37135157166666666,68.58,,38543.0,1.0561986003032429,60.0,High-Risk Tradable,0,Pump was not clearly tradable; do not loosen clean filters from this row alone.,2026-05-18T04:43:51+00:00
13454,0xb77c45c2A8C29323061Aa0273A46283F1530eB5E,VEILNET,base:0x1e30475ed99bc21c6792c9c4f4f1224229b2c3e3b7b9c8723a8661b6f9923443,Watchlist,30m,470.57602490918526,470.57602490918526,[],36492.19,115284.72,0.37135157166666666,68.58,,38543.0,1.0561986003032429,60.0,High-Risk Tradable,0,Pump was not clearly tradable; do not loosen clean filters from this row alone.,2026-05-18T04:43:51+00:00
13453,0xb77c45c2A8C29323061Aa0273A46283F1530eB5E,VEILNET,base:0x1e30475ed99bc21c6792c9c4f4f1224229b2c3e3b7b9c8723a8661b6f9923443,Watchlist,15m,470.57602490918526,470.57602490918526,[],36492.19,115284.72,0.37135157166666666,68.58,,38543.0,1.0561986003032429,60.0,High-Risk Tradable,0,Pump was not clearly tradable; do not loosen clean filters from this row alone.,2026-05-18T04:43:51+00:00
13452,0xF233Cb02e6944aF84a9DFFEaf11B88ea5B4fEb2e,Shekel,base:0xbebfc588032de43a8c5d37737a29fd2950dea1fc76bdf0e3ff15f4d2229ab3b9,Momentum Trap,4h,388.276397515528,388.276397515528,"[""early_extreme_overextension"",""too_early_after_large_pump""]",65348.33,345887.63,0.7100479316666667,985.0,,128836.0,1.971527045909207,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13451,0xF233Cb02e6944aF84a9DFFEaf11B88ea5B4fEb2e,Shekel,base:0xbebfc588032de43a8c5d37737a29fd2950dea1fc76bdf0e3ff15f4d2229ab3b9,Momentum Trap,2h,388.276397515528,388.276397515528,"[""early_extreme_overextension"",""too_early_after_large_pump""]",65348.33,345887.63,0.7100479316666667,985.0,,128836.0,1.971527045909207,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
