id,token_address,symbol,pair_id,ten_x_score,risk_adjusted_10x_score,manipulation_risk_score,horizon,return_pct,failure_reasons,diagnosis_text,created_at
17368,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,83.0,83.0,0.0,24h,-27.475133894414693,"[""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17367,0xA82138D538CF6e465d0B6915B0d072b1e6910f7d,COBOT,base:0xdC6Dc2125885f06881483499c43AD354A85e6F04,97.0,97.0,0.0,24h,-32.4128862590401,"[""Volume fade failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17366,0xBF0775cBCA2744549cD016DAb8D3B3403De58bBF,LPAD,base:0x26ece6c852e5e0000ca805f52056a63d1da5c699cfd43c7d538fe74afa38b2a1,87.0,87.0,0.0,2h,-45.3300258843831,"[""Liquidity drop failure"",""Timing failure"",""No-buyer-continuation failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17365,0xBF0775cBCA2744549cD016DAb8D3B3403De58bBF,LPAD,base:0x26ece6c852e5e0000ca805f52056a63d1da5c699cfd43c7d538fe74afa38b2a1,87.0,87.0,0.0,4h,-46.46246764452113,"[""Liquidity drop failure"",""Timing failure"",""No-buyer-continuation failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17364,0x6750C50b485D51416bE4BC5f4F2107Ea9cd4CB07,BASEDTROLL,base:0xe912e5d32c6b6e1f52fa91c773fd4709414fc6f641b9a62dbed52bd50effcef3,96.0,71.0,25.0,8h,-82.39385065885799,"[""Liquidity drop failure"",""Timing failure"",""No-buyer-continuation failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17363,0xBF0775cBCA2744549cD016DAb8D3B3403De58bBF,LPAD,base:0x26ece6c852e5e0000ca805f52056a63d1da5c699cfd43c7d538fe74afa38b2a1,87.0,87.0,0.0,8h,-61.03321829163072,"[""Liquidity drop failure"",""Timing failure"",""No-buyer-continuation failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17362,0xFa507Bf8dfb7649F3c567901215b224e77f4163E,WAVE,base:0x7e8cfb89dac73a43f69c4343bb85da23158115664f6a749d6bdda056f9d84f3f,100.0,75.0,25.0,24h,-93.93523809523809,"[""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17361,0x0383ACCbCbA5480806a46a0656C365A4Fa1495a7,Archetype,base:0x57a7ff7e2962424c12b55ca7a2042739e1e5b8be9bcd1f30deaa9943824b592f,97.0,47.0,50.0,24h,-93.21057321057322,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17360,0xACa8B40f243aE9756bBa011bfFd7A1Ab0761BD7F,agent,base:0x42600aeb59d5f826d246b8bc39d1a7ff34a1e004b047d90204628b89b5e53fa2,80.0,55.0,25.0,24h,-85.09554140127389,"[""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17359,0x06e2300DebeFF884560aF935b3b0d68708556872,BAGELS,base:0x580024bd4b70b64948b830802ea0ecaf5b75f31b8864f74f2a8e5e18cfde266f,100.0,75.0,25.0,1h,-41.68976604945116,"[""Overextension failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17358,0x06e2300DebeFF884560aF935b3b0d68708556872,BAGELS,base:0x580024bd4b70b64948b830802ea0ecaf5b75f31b8864f74f2a8e5e18cfde266f,100.0,75.0,25.0,30m,-41.68976604945116,"[""Overextension failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17357,0x06e2300DebeFF884560aF935b3b0d68708556872,BAGELS,base:0x580024bd4b70b64948b830802ea0ecaf5b75f31b8864f74f2a8e5e18cfde266f,100.0,75.0,25.0,15m,-41.68976604945116,"[""Overextension failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17356,0x6750C50b485D51416bE4BC5f4F2107Ea9cd4CB07,BASEDTROLL,base:0xe912e5d32c6b6e1f52fa91c773fd4709414fc6f641b9a62dbed52bd50effcef3,96.0,71.0,25.0,24h,-99.57540263543191,"[""Liquidity drop failure"",""Timing failure"",""No-buyer-continuation failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17355,0x06e2300DebeFF884560aF935b3b0d68708556872,BAGELS,base:0x580024bd4b70b64948b830802ea0ecaf5b75f31b8864f74f2a8e5e18cfde266f,100.0,75.0,25.0,2h,-33.62900543297482,"[""Overextension failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17354,0xBF0775cBCA2744549cD016DAb8D3B3403De58bBF,LPAD,base:0x26ece6c852e5e0000ca805f52056a63d1da5c699cfd43c7d538fe74afa38b2a1,87.0,87.0,0.0,24h,-47.454702329594475,"[""Liquidity drop failure"",""Volume fade failure"",""Timing failure"",""No-buyer-continuation failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17353,0x700eF9A35E0cd425ec29d09F8Be8c988A13de867,LOB,base:0xf0845f1df09f1f5bb163e79bd14ac73f043211eb113b8f07e51b0192e3721951,92.0,42.0,50.0,24h,-86.87592319054653,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17352,0x055b2843d771903c32940e80Cdd47cb0c36DA711,OPACITY,base:0x23eced29ebc22bc8a3f74165e4a8899e2e930e15d1aef4b281b1a04daa97cc93,84.0,39.0,45.0,2h,-46.108247422680414,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
17351,0x055b2843d771903c32940e80Cdd47cb0c36DA711,OPACITY,base:0x23eced29ebc22bc8a3f74165e4a8899e2e930e15d1aef4b281b1a04daa97cc93,84.0,39.0,45.0,4h,-46.108247422680414,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","High 10x score failed. Inspect overextension, timing, volume fade, liquidity drop, manipulation risk, or lack of buyer continuation.",2026-05-17T19:39:53+00:00
